"Date","Game","Earnings","Players","Tournaments"
1998-01-01,"QuakeWorld",15000,8,1
1998-05-01,"Quake II",14600,4,1
1998-07-01,"Quake II",15000,5,1
1998-07-01,"QuakeWorld",6500,4,1
1998-11-01,"Quake II",36600,13,2
1998-11-01,"QuakeWorld",22000,0,1
1998-11-01,"StarCraft: Brood War",20000,8,1
1998-12-01,"Age of Empires",2000,1,1
1999-03-01,"Quake II",15000,5,1
1999-04-01,"StarCraft: Brood War",3000,2,1
1999-05-01,"Quake II",27400,8,1
1999-05-01,"StarCraft: Brood War",27400,8,1
1999-08-01,"Descent 3",50000,1,1
1999-08-01,"StarCraft: Brood War",49498.86,9,2
1999-09-01,"StarCraft: Brood War",34666.16,15,3
1999-09-01,"Quake III Arena",16400,6,1
1999-10-01,"Quake III Arena",26800,12,1
1999-12-01,"StarCraft: Brood War",24988.82,16,4
2000-01-01,"Age of Empires II",35335.86,2,1
2000-01-01,"StarCraft: Brood War",23820.16,15,3
2000-02-01,"Quake III Arena",4000,3,1
2000-02-01,"Age of Empires II",450,5,1
2000-04-01,"Quake III Arena",110927.63,43,8
2000-04-01,"Age of Empires",9500,4,1
2000-04-01,"Age of Empires II",5015,1,1
2000-05-01,"StarCraft: Brood War",17977.49,16,1
2000-05-01,"Quake III Arena",12300,5,2
2000-05-01,"Age of Empires II",225,0,2
2000-06-01,"Quake III Arena",6970,9,2
2000-06-01,"StarCraft: Brood War",4494.37,1,1
2000-06-01,"Age of Empires II",1006.8,5,2
2000-07-01,"Quake III Arena",23170,6,2
2000-07-01,"Marvel vs. Capcom 2",0,3,1
2000-07-01,"Street Fighter Alpha 2",0,3,1
2000-07-01,"Street Fighter Alpha 3",0,3,1
2000-07-01,"Street Fighter III: 3rd Strike",0,3,1
2000-07-01,"Super Street Fighter II Turbo",0,3,1
2000-08-01,"StarCraft: Brood War",12853.9,4,1
2000-08-01,"Age of Empires II",9192,9,3
2000-08-01,"Quake III Arena",5750,3,1
2000-09-01,"Quake III Arena",52059.98,11,5
2000-09-01,"Age of Empires II",12378.11,11,3
2000-09-01,"StarCraft: Brood War",6292.12,1,2
2000-10-01,"Quake III Arena",75000,5,3
2000-10-01,"Age of Empires II",50000,4,1
2000-10-01,"FIFA 2000",50000,4,1
2000-10-01,"StarCraft: Brood War",50000,4,1
